state,yr,qtr,index_nsa,index_sa
AR,2019,2,224.25,223.21
AR,2019,3,225.86,224.38
AR,2019,4,225.17,225.41
AR,2020,1,228.33,228.99
AR,2020,2,235.99,234.87
AR,2020,3,242.37,240.8
AR,2020,4,249.88,249.97
AR,2021,1,255.45,256.41
AR,2021,2,270.63,269.28
AR,2021,3,284.16,282.33
AR,2021,4,297.24,297.19
AR,2022,1,305.03,306.43
AR,2022,2,318.62,316.94
AR,2022,3,327.11,324.98
AR,2022,4,327.71,327.49
AR,2023,1,331.12,332.92
AR,2023,2,341.17,339.26
AR,2023,3,347.2,344.91
AZ,1991,1,100,100
AZ,1991,2,100.42,100.27
AZ,1991,3,99.46,99.38
AZ,1991,4,101.68,101.05
AZ,1992,1,102.28,102.31
AZ,1992,2,101.66,101.5
AZ,1992,3,102.76,102.64
AZ,1992,4,103.83,103.22
AZ,1993,1,104.1,104.15
AZ,1993,2,105.32,105.15
AZ,1993,3,106.91,106.71
AZ,1993,4,109.26,108.71
AZ,1994,1,110.25,110.32
AZ,1994,2,112.67,112.46
AZ,1994,3,114.48,114.15
AZ,1994,4,116.54,116.08
AZ,1995,1,117.25,117.34
AZ,1995,2,119.25,118.97
AZ,1995,3,121.11,120.66
AZ,1995,4,122.07,121.75
AZ,1996,1,123.74,123.83
AZ,1996,2,125.25,124.9
AZ,1996,3,126.69,126.15
AZ,1996,4,126.81,126.63
AZ,1997,1,127.95,128
AZ,1997,2,129.61,129.18
AZ,1997,3,131,130.43
AZ,1997,4,131.94,131.86
AZ,1998,1,133.28,133.29
AZ,1998,2,135.83,135.32
AZ,1998,3,137.66,137.1
AZ,1998,4,138.86,138.79
AZ,1999,1,141.04,141.04
AZ,1999,2,143.51,142.9
AZ,1999,3,145.67,145.17
AZ,1999,4,147.05,146.93
AZ,2000,1,149.45,149.47
AZ,2000,2,151.94,151.26
AZ,2000,3,153.38,152.93
AZ,2000,4,155.74,155.54
AZ,2001,1,157.58,157.63
AZ,2001,2,160.94,160.22
AZ,2001,3,162.91,162.43
AZ,2001,4,165.74,165.48
AZ,2002,1,166.51,166.65
AZ,2002,2,170.13,169.36
AZ,2002,3,172.71,172.08
AZ,2002,4,176.06,175.87
AZ,2003,1,179.15,179.4
AZ,2003,2,183.14,182.24
AZ,2003,3,186.91,186.02
AZ,2003,4,192.43,192.47
AZ,2004,1,198.01,198.38
AZ,2004,2,206.01,204.89
AZ,2004,3,216.51,215.12
AZ,2004,4,227.49,228.03
AZ,2005,1,243.64,244.11
AZ,2005,2,268.69,267.01
AZ,2005,3,290.43,288.16
AZ,2005,4,301.49,302.87
AZ,2006,1,313.89,314.55
AZ,2006,2,320.21,317.94
AZ,2006,3,316.51,313.62
AZ,2006,4,318.11,320.17
AZ,2007,1,317.13,317.78
AZ,2007,2,315.68,313.23
AZ,2007,3,308.5,305.54
AZ,2007,4,288.27,290.36
AZ,2008,1,276.51,277.07
AZ,2008,2,263.32,261.31
AZ,2008,3,244.5,242.06
AZ,2008,4,224.26,225.83
AZ,2009,1,214.48,214.99
AZ,2009,2,203.91,202.42
AZ,2009,3,202.03,199.99
AZ,2009,4,194.68,195.83
AZ,2010,1,190.69,191.33
AZ,2010,2,187.54,186.22
